tweet_id,retweet_count,favorite_count
877316821321428993,4248,23419
877201837425926144,4518,23129
876838120628539392,2742,17634
876537666061221889,3870,20267
876484053909872640,1953,16038
876120275196170240,3823,23865
875747767867523072,3498,21406
875144289856114688,4069,18823
875097192612077568,4978,23458
875021211251597312,3875,21806
874680097055178752,3824,23757
874434818259525634,11956,0
874296783580663808,3398,22252
874057562936811520,3293,19374
874012996292530176,8391,29131
873580283840344065,3266,20693
873337748698140672,1300,0
873213775632977920,1300,6122
872967104147763200,4455,23330
872820683541237760,3085,12674
872620804844003328,2992,17684
872486979161796608,7482,34890
872122724285648897,6666,29294
871879754684805121,9061,32048
871762521631449091,2904,17302
871515927908634625,2874,17320
871166179821445120,4772,0
871102520638267392,4559,17982
871032628920680449,3157,19549
870804317367881728,5157,28858
870726314365509632,3,101
870656317836468226,2146,10537
870374049280663552,22025,71135
870308999962521604,3472,18867
870063196459192321,6923,31436
869772420881756160,8453,36654
869702957897576449,5285,24252
869596645499047938,2577,13686
869227993411051520,3131,17566
868880397819494401,11984,56243
868639477480148993,1704,0
868622495443632128,4362,22881
868552278524837888,1704,8647
867900495410671616,3490,20921
867774946302451713,6116,29368
867421006826221569,2075,13876
867072653475098625,99,0
867051520902168576,6647,27846
866720684873056260,4047,17316
866686824827068416,2907,16623
866450705531457537,29477,105513
866334964761202691,11956,45213
866094527597207552,7013,0
865718153858494464,4705,22174
865359393868664832,4192,22874
865006731092295680,6517,24272
864873206498414592,7318,27928
864279568663928832,2516,12646
864197398364647424,7398,25881
863907417377173506,3518,17867
863553081350529029,3559,13244
863471782782697472,2037,0
863432100342583297,4462,20606
863427515083354112,80,1914
863079547188785154,933,7682
863062471531167744,2037,7288
862831371563274240,4350,16704
862722525377298433,3023,14862
862457590147678208,4148,17742
862096992088072192,19557,64439
861383897657036800,9064,31387
861288531465048066,3503,14903
861005113778896900,3252,14504
860981674716409858,1818,0
860924035999428608,659,0
860563773140209665,1818,6522
860524505164394496,4485,20537
860276583193509888,2992,15999
860184849394610176,4999,14538
860177593139703809,26057,0
859924526012018688,3490,17037
859851578198683649,3001,13543
859607811541651456,1345,16309
859196978902773760,25690,78178
859074603037188101,11721,29596
858860390427611136,6928,0
858843525470990336,2962,13736
858471635011153920,4169,18896
858107933456039936,2481,13814
857989990357356544,2218,14040
857746408056729600,9143,29927
857393404942143489,1406,5150
857263160327368704,3890,17749
857214891891077121,16,198
857062103051644929,142,0
857029823797047296,3421,16610
856543823941562368,2491,14349
856526610513747968,1611,10481
856288084350160898,14,472
856282028240666624,5457,24516
855862651834028034,21,293
855860136149123072,839,4279
855857698524602368,1810,10511
855851453814013952,15577,40223
855818117272018944,4693,23553
855459453768019968,7150,26337
855245323840757760,5142,0
855138241867124737,36,0
854732716440526848,5235,20086
854482394044301312,5897,25810
854365224396361728,4048,16670
854120357044912130,6447,28291
854010172552949760,2740,14338
853760880890318849,5022,25282
